country,riesgo_encoded,riesgo_categoria,SuicideRate_BothSexes_RatePer100k_2021_norm,SuicideRate_Male_RatePer100k_2021_norm,SuicideRate_Female_RatePer100k_2021_norm,gender_ratio_2021_norm,avg_rate_3y_norm,tendencia_absoluta_norm,tendencia_porcentual_norm
Estonia,2,Alto,0.24490142760027192,0.2853812077407321,0.1900343642611684,0.3038843733024105,0.23284693350724164,0.9011065006915628,0.10661851280426195
Cyprus,0,Bajo,0.055404486743711755,0.06178596409419447,0.04707903780068729,0.25303877523300256,0.050677970707317735,0.9036998616874135,0.12019108375638317
Mauritius,2,Alto,0.17301155676410607,0.19619958032175336,0.1302405498281787,0.3040844617608299,0.1595337083231434,0.9213347164591977,0.12434662738431054
Eswatini,2,Alto,0.2997960571040109,0.3496152949405456,0.20137457044673543,0.3681513554820805,0.3498002771663814,0.7062586445366529,0.0547194393279123
Djibouti,0,Bajo,0.08242692046227057,0.07565866169270227,0.1013745704467354,0.10471285195512131,0.10067661204858563,0.8274550484094052,0.049426636416730306
Fiji,1,Medio,0.13783140720598233,0.12905106085334578,0.17697594501718217,0.09375665169675138,0.13355615336539767,0.8941908713692945,0.1024334726028423
Comoros,1,Medio,0.09381373215499661,0.07740732105385872,0.15429553264604814,0.03373913772802767,0.08507920980408142,0.911652835408022,0.12606136843523966
Guyana,2,Alto,0.5180149558123726,0.6016553975285615,0.3439862542955327,0.37402556557929756,0.5485992228472053,0.7397994467496543,0.07441961469400896
Solomon Islands,2,Alto,0.29724677090414686,0.30380041967824667,0.29690721649484536,0.17173973913912344,0.2673568653025733,0.9578146611341631,0.13612471359899367
Bhutan,1,Medio,0.0844663494221618,0.07449288878526464,0.11993127147766323,0.06933112893473958,0.0748077497894079,0.9159751037344398,0.1370681522080956
Luxembourg,1,Medio,0.1400407885791978,0.14059221263697833,0.1525773195876289,0.14698385524919338,0.14632754544713458,0.8566735822959889,0.07739774743595806
Montenegro,2,Alto,0.2493201903467029,0.2633480997901609,0.24158075601374576,0.19084908789128713,0.27713920817369103,0.8001383125864453,0.06914057235275617
Suriname,2,Alto,0.38783140720598236,0.42247610165539756,0.3378006872852234,0.23486573749153966,0.39045134643080354,0.864972337482711,0.09468770130316218
Malta,0,Bajo,0.07104010876954453,0.08020517603170904,0.053264604810996576,0.2995313561607225,0.07497078883725987,0.8763831258644535,0.07936373498581159
Maldives,0,Bajo,0.02447314751869477,0.025064117509909077,0.004810996563573885,0.6128619732817677,0.02562430368739981,0.8877939142461964,0.08056666217410186
Cape Verde,2,Alto,0.24269204622705645,0.2853812077407321,0.13676975945017186,0.45940251862070497,0.22094508301404855,0.9334370677731673,0.1261637571214988
Brunei,0,Bajo,0.05557443915703602,0.0581720680811378,0.04742268041237114,0.2327817710077767,0.04758022879813048,0.919432918395574,0.17008850352666333
Belize,0,Bajo,0.07324949014276003,0.08976451387269761,0.03573883161512029,0.5210201387503681,0.0809488872584984,0.86134163208852,0.06665574108652994
Bahamas,0,Bajo,0.031101291638341258,0.04161809279552344,0.010996563573883162,0.6219463344561669,0.03475449036710958,0.8807053941908713,0.07046138640549889
Iceland,2,Alto,0.19901427600271923,0.21520167871298673,0.165979381443299,0.24798678219872933,0.18578299502730902,0.9062932226832641,0.11059637476447068
Vanuatu,2,Alto,0.2639360978925901,0.2778036838423875,0.24570446735395193,0.2019922028739896,0.26279177196271847,0.8668741355463346,0.09164682450544347
Barbados,0,Bajo,0.06611148878314073,0.08207041268360925,0.03642611683848798,0.4641628885651103,0.04203690117116382,0.9664591977869985,1.0
Sao Tome and Principe,0,Bajo,0.0062882392929979585,0.006878060153882025,0.007560137457044676,0.20655827985961334,0.007907393820820088,0.8900414937759336,0.07322880632553122
Samoa,2,Alto,0.1937457511896669,0.18570762415481465,0.22852233676975947,0.11465209922012021,0.18871769788864431,0.8888312586445366,0.09964508738038545
Saint Lucia,1,Medio,0.10180149558123726,0.13033341105152718,0.02989690721649485,0.9051663796466287,0.10399173935490884,0.8765560165975103,0.08515514418573966
